Meas,Label,Data
20,POCKET-1 X Bottom,25.254
20,POCKET-2 X Bottom,25.271
20,POCKET-3 X Bottom,25.266
20,POCKET-1 Y Bottom,40.245
20,POCKET-2 Y Bottom,40.234
20,POCKET-3 Y Bottom,40.261
21,EL,322.6
21,OL,315.147
21,TOW,135.936
21,BOW,135.88
21,TSL,311.273
21,BSL,311.808
21,TSW,132.149
21,BSW,132.815
21,TT,12.146
21,ST(A),10.139
21,ST(B),10.097
21,ST(C),10.125
21,ST(D),10.143
21,ST(E),10.132
21,ST(F),10.129
21,POCKET-1 X Top,25.296
21,POCKET-2 X Top,25.28
21,POCKET-3 X Top,25.296
21,POCKET-1 Y Top,40.282
21,POCKET-2 Y Top,40.282
21,POCKET-3 Y Top,40.259
21,POCKET-1 X Bottom,25.258
21,POCKET-2 X Bottom,25.263
21,POCKET-3 X Bottom,25.263
21,POCKET-1 Y Bottom,40.244
21,POCKET-2 Y Bottom,40.236
21,POCKET-3 Y Bottom,40.251
22,EL,322.603
22,OL,315.142
22,TOW,135.926
22,BOW,135.88
22,TSL,311.279
22,BSL,311.803
22,TSW,132.133
22,BSW,132.81
22,TT,12.156
22,ST(A),10.143
22,ST(B),10.107
22,ST(C),10.133
22,ST(D),10.136
22,ST(E),10.127
22,ST(F),10.132
22,POCKET-1 X Top,25.3
22,POCKET-2 X Top,25.276
22,POCKET-3 X Top,25.301
22,POCKET-1 Y Top,40.292
22,POCKET-2 Y Top,40.293
22,POCKET-3 Y Top,40.266
22,POCKET-1 X Bottom,25.258
22,POCKET-2 X Bottom,25.267
22,POCKET-3 X Bottom,25.273
22,POCKET-1 Y Bottom,40.241
22,POCKET-2 Y Bottom,40.234
22,POCKET-3 Y Bottom,40.265
23,EL,322.594
23,OL,315.158
23,TOW,135.94
23,BOW,135.865
23,TSL,311.283
23,BSL,311.79
23,TSW,132.159
23,BSW,132.803
23,TT,12.161
23,ST(A),10.144
23,ST(B),10.107
23,ST(C),10.137
23,ST(D),10.153
23,ST(E),10.128
23,ST(F),10.141
23,POCKET-1 X Top,25.291
23,POCKET-2 X Top,25.288
23,POCKET-3 X Top,25.295
23,POCKET-1 Y Top,40.293
23,POCKET-2 Y Top,40.286
23,POCKET-3 Y Top,40.27
23,POCKET-1 X Bottom,25.254
23,POCKET-2 X Bottom,25.267
23,POCKET-3 X Bottom,25.261
23,POCKET-1 Y Bottom,40.245
23,POCKET-2 Y Bottom,40.232
23,POCKET-3 Y Bottom,40.25
24,EL,322.594
24,OL,315.132
24,TOW,135.942
24,BOW,135.868
24,TSL,311.284
24,BSL,311.786
24,TSW,132.146
24,BSW,132.804
24,TT,12.157
24,ST(A),10.136
24,ST(B),10.105
24,ST(C),10.138
24,ST(D),10.146
24,ST(E),10.113
24,ST(F),10.134
24,POCKET-1 X Top,25.294
24,POCKET-2 X Top,25.278
24,POCKET-3 X Top,25.301
24,POCKET-1 Y Top,40.285
24,POCKET-2 Y Top,40.284
24,POCKET-3 Y Top,40.272
24,POCKET-1 X Bottom,25.259
24,POCKET-2 X Bottom,25.27
24,POCKET-3 X Bottom,25.266
24,POCKET-1 Y Bottom,40.248
24,POCKET-2 Y Bottom,40.233
24,POCKET-3 Y Bottom,40.246
25,EL,322.609
25,OL,315.133
25,TOW,135.916
25,BOW,135.869
25,TSL,311.26
25,BSL,311.797
